Name,Position,Salary,Tm,ERA,WHIP,ERAR,WHIPR,In_budget
Cole Irvin,SP,705000.0,OAK,3.98,1.16,0,0,0
A.J. Puk,RP/CL,705000.0,OAK,3.12,1.146,0,0,0
Max Kranick,SP,705000.0,PIT,0.0,1.2,0,0,0
Nick Mears,RP,705000.0,PIT,0.0,1.0,0,0,0
Tyler Wells,SP,704500.0,BAL,4.25,1.138,0,0,0
Joe Barlow,RP,704000.0,TEX,3.86,1.143,0,0,0
Cody Poteet,RP,704000.0,MIA,3.86,1.214,0,0,0
Camilo Doval,RP/CL,703750.0,SFG,2.53,1.241,0,0,0
Alex Lange,RP/CL,703700.0,DET,3.41,1.232,0,0,0
Trevor Stephan,RP,703400.0,CLE,2.69,1.178,0,0,0
Bailey Falter,SP,703000.0,PHI,3.86,1.214,0,0,0
Michael Rucker,RP,702500.0,CHC,3.95,1.28,0,0,0
Sam Hentges,RP,702500.0,CLE,2.32,0.968,0,0,0
Mason Thompson,RP,702200.0,WSN,2.92,1.135,0,0,0
Eli Morgan,RP,702100.0,CLE,3.38,0.885,0,0,0
Nick Sandlin,RP,701700.0,CLE,2.25,1.159,0,0,0
Joe Ryan,SP,701650.0,MIN,3.55,1.102,0,0,0
Scott Effross,RP,701500.0,TOT,2.54,1.059,0,0,0
Dylan Coleman,RP,700650.0,KCR,2.78,1.235,0,0,0
Bryan Baker,RP,700500.0,BAL,3.49,1.234,0,0,0
John Schreiber,RP,700000.0,BOS,2.22,0.985,0,0,0
Fernando Cruz,RP,700000.0,CIN,1.23,1.227,0,0,0
Beau Brieske,SP,700000.0,DET,4.19,1.2,0,0,0
Nick Lodolo,SP,700000.0,CIN,3.66,1.248,0,0,0
Connor Overton,RP,700000.0,CIN,2.73,0.97,0,0,0
Angel De Jesus,RP,700000.0,DET,2.13,1.026,0,0,0
Bryan Garcia,RP,700000.0,DET,3.54,1.18,0,0,0
Andrew Wantz,RP,700000.0,LAA,3.22,1.152,0,0,0
Zack Weiss,RP,700000.0,LAA,3.38,1.05,0,0,0
Steven Wilson,RP,700000.0,SDP,3.06,1.057,0,0,0
Colin Poche,RP,700000.0,TBR,3.99,1.159,0,0,0
Ryan Thompson,RP,700000.0,TBR,3.8,1.172,0,0,0
Jandel Gustave,RP,700000.0,MIL,3.86,1.286,0,0,0
Zach Pop,RP,700000.0,TOT,2.77,1.154,0,0,0
