Rk,Name,Full_Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
763,Anthony Rizzo*,Anthony Rizzo,32,NYY,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,132,223,13,23,0,2,6
920,Gio Urshela,Gio Urshela,30,MIN,144,551,501,61,143,27,3,13,64,1,0,41,96,0.285,0.338,0.429,0.767,119,215,21,2,0,7,2
40,Tim Anderson,Tim Anderson,29,CHW,79,351,332,50,100,13,0,6,25,13,0,14,55,0.301,0.339,0.395,0.734,107,131,10,5,0,0,1
210,J.P. Crawford*,J.P. Crawford,27,SEA,145,603,518,57,126,24,3,6,42,3,2,68,80,0.243,0.339,0.336,0.675,98,174,11,10,2,5,0
371,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,23,TOR,160,706,638,90,175,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,133,306,26,6,0,4,6
390,Michael Harris II*,Michael Harris II,21,ATL,114,441,414,75,123,27,3,19,64,20,2,21,107,0.297,0.339,0.514,0.853,134,213,7,5,1,0,0
446,Danny Jansen,Danny Jansen,27,TOR,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,142,111,1,3,0,5,1
505,Francisco Lindor#,Francisco Lindor,28,NYM,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,125,283,11,10,0,7,2
845,Donovan Solano,Donovan Solano,34,CIN,80,304,278,22,79,16,0,4,24,0,0,19,61,0.284,0.339,0.385,0.724,96,107,5,5,0,2,1
980,Kolten Wong*,Kolten Wong,31,MIL,134,497,430,65,108,24,4,15,47,17,6,46,88,0.251,0.339,0.43,0.77,118,185,5,14,2,5,2
105,Mookie Betts,Mookie Betts,29,LAD,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,138,305,8,8,0,4,0
223,J.D. Davis,J.D. Davis,29,TOT,115,365,318,46,79,16,1,12,35,1,1,39,122,0.248,0.34,0.418,0.758,116,133,13,6,0,2,1
645,Lars Nootbaar*,Lars Nootbaar,24,STL,108,347,290,53,66,16,3,14,40,4,1,51,71,0.228,0.34,0.448,0.788,125,130,3,1,0,5,1
928,Terrin Vavra*,Terrin Vavra,25,BAL,40,103,89,14,23,2,1,1,12,0,1,12,19,0.258,0.34,0.337,0.677,95,30,2,0,0,2,0
192,Ji Man Choi*,Ji Man Choi,31,TBR,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,115,138,3,2,0,3,3
552,J.D. Martinez,J.D. Martinez,34,BOS,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117,239,20,5,0,5,1
560,Nick Maton*,Nick Maton,25,PHI,34,85,72,13,18,2,1,5,17,0,0,10,29,0.25,0.341,0.514,0.855,140,37,0,1,0,2,0
388,Ian Happ#,Ian Happ,27,CHC,158,641,573,72,155,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,119,252,11,6,0,4,4
565,Jake McCarthy*,Jake McCarthy,24,ARI,99,354,321,53,91,16,3,8,43,23,3,23,76,0.283,0.342,0.427,0.769,118,137,3,6,3,1,0
736,J.T. Realmuto,J.T. Realmuto,31,PHI,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,131,241,7,12,0,5,1
857,George Springer,George Springer,32,TOR,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132,242,7,7,0,5,1
949,Jason Vosler*,Jason Vosler,28,SFG,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,128,46,3,2,0,1,1
373,Lourdes Gurriel Jr.,Lourdes Gurriel Jr.,28,TOR,121,493,453,52,132,32,1,5,52,3,4,31,83,0.291,0.343,0.4,0.743,114,181,11,6,0,2,1
584,Danny Mendick,Danny Mendick,28,CHW,31,106,97,22,28,4,1,3,15,1,0,7,23,0.289,0.343,0.443,0.786,120,43,2,1,1,0,0
732,Harold Ramírez,Harold Ramírez,27,TBR,120,435,403,46,121,24,0,6,58,3,5,19,72,0.3,0.343,0.404,0.747,120,163,5,9,0,4,1
841,Will Smith,Will Smith,27,LAD,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,122,236,11,10,0,4,4
916,Trea Turner,Trea Turner,29,LAD,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,123,304,9,3,0,6,1
131,Mike Brosseau,Mike Brosseau,28,MIL,69,160,141,15,36,5,0,6,23,2,0,14,48,0.255,0.344,0.418,0.762,117,59,0,5,0,0,0
227,Jonathan Davis,Jonathan Davis,30,MIL,37,91,76,9,17,1,0,0,4,7,1,14,26,0.224,0.344,0.237,0.581,71,18,1,0,1,0,0
308,Jake Fraley*,Jake Fraley,27,CIN,68,247,216,33,56,9,0,12,28,4,1,26,54,0.259,0.344,0.468,0.812,117,101,1,3,0,2,1
975,Jesse Winker*,Jesse Winker,28,SEA,136,547,456,51,100,15,0,14,53,0,0,84,103,0.219,0.344,0.344,0.688,102,157,8,4,0,3,1
379,Jake Hager,Jake Hager,29,ARI,28,59,50,4,12,2,0,0,3,0,0,8,17,0.24,0.345,0.28,0.625,82,14,0,0,1,0,0
725,Albert Pujols,Albert Pujols,42,STL,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,153,169,13,10,0,6,1
751,Bryan Reynolds#,Bryan Reynolds,27,PIT,145,614,542,74,142,19,4,27,62,7,3,56,141,0.262,0.345,0.461,0.807,127,250,13,14,0,2,6
772,Julio Rodríguez,Julio Rodríguez,21,SEA,132,560,511,84,145,25,3,28,75,25,7,40,145,0.284,0.345,0.509,0.853,144,260,7,8,0,1,4
523,Gavin Lux*,Gavin Lux,24,LAD,129,471,421,66,116,20,7,6,42,7,2,47,95,0.276,0.346,0.399,0.745,107,168,3,0,0,3,0
716,Jorge Polanco#,Jorge Polanco,28,MIN,104,445,375,54,88,16,0,16,56,3,3,64,95,0.235,0.346,0.405,0.751,115,152,4,2,0,4,1
547,Starling Marte,Starling Marte,33,NYM,118,505,466,76,136,24,5,16,63,18,9,26,97,0.292,0.347,0.468,0.814,132,218,18,13,0,0,0
579,Austin Meadows*,Austin Meadows,27,DET,36,147,128,9,32,6,2,0,11,0,1,16,17,0.25,0.347,0.328,0.675,98,42,2,3,0,0,0
986,Seby Zavala,Seby Zavala,28,CHW,61,205,178,22,48,14,0,2,21,0,0,19,64,0.27,0.347,0.382,0.729,106,68,1,3,3,2,0
330,Maikel Garcia,Maikel Garcia,22,KCR,9,23,22,1,7,1,0,0,2,0,0,1,5,0.318,0.348,0.364,0.711,103,8,1,0,0,0,0
401,Gunnar Henderson*,Gunnar Henderson,21,BAL,34,132,116,12,30,7,1,4,18,1,1,16,34,0.259,0.348,0.44,0.788,124,51,1,0,0,0,1
205,Willson Contreras,Willson Contreras,30,CHC,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,128,194,14,24,0,2,0
229,Yonathan Daza,Yonathan Daza,28,COL,113,408,372,56,112,21,2,2,34,0,3,26,58,0.301,0.349,0.384,0.733,97,143,12,4,1,5,0
756,Austin Riley,Austin Riley,25,ATL,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,141,325,13,17,0,4,1
776,Josh Rojas*,Josh Rojas,28,ARI,125,510,443,66,119,25,1,9,56,23,3,55,98,0.269,0.349,0.391,0.739,111,173,7,2,5,5,2
875,Garrett Stubbs*,Garrett Stubbs,29,PHI,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,130,49,2,0,1,0,0
915,Justin Turner,Justin Turner,37,LAD,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,118,205,13,6,0,8,1
7,Ronald Acuna Jr.,Ronald Acuna Jr.,24,ATL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,113,193,8,10,0,3,4
372,Luis Guillorme*,Luis Guillorme,27,NYM,102,335,297,33,81,12,1,2,17,1,0,34,46,0.273,0.351,0.34,0.691,101,101,15,2,2,0,1
33,Pete Alonso,Pete Alonso,27,NYM,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,309,17,12,0,9,16
366,Vaughn Grissom,Vaughn Grissom,21,ATL,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,120,62,0,3,0,1,1
682,Joc Pederson*,Joc Pederson,30,SFG,134,433,380,57,104,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,145,198,5,7,0,4,3
897,Trayce Thompson,Trayce Thompson,31,TOT,80,255,219,36,56,14,1,13,41,4,1,32,93,0.256,0.353,0.507,0.86,137,111,2,2,0,2,0
204,William Contreras,William Contreras,24,ATL,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,137,169,5,1,0,2,1
733,José Ramírez#,José Ramírez,29,CLE,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148,309,5,6,0,9,20
983,Christian Yelich*,Christian Yelich,30,MIL,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,111,220,9,5,1,2,5
160,Conner Capel*,Conner Capel,25,TOT,22,59,52,7,16,0,1,3,11,1,1,5,10,0.308,0.356,0.519,0.875,152,27,2,0,0,2,0
