Name,Position,Salary
Alex Verdugo,LF,"$3,550,000"
Daniel Susac,C,"$3,531,200"
Manuel Pina,C,"$3,500,000"
Mychal Givens,RP,"$3,500,000"
Wilmer Flores,DH,"$3,500,000"
Zach Neto,2B,"$3,500,000"
David Phelps,RP,"$3,500,000"
Tyler O'Neill,LF,"$3,400,000"
Mitch Garver,C,"$3,335,000"
Carson Kelly,C,"$3,325,000"
Cole Young,SS,"$3,300,000"
Chris Martin,RP,"$3,250,000"
Luis Garcia,RP,"$3,250,000"
Ji-Man Choi,1B,"$3,200,000"
Cooper Hjerpe,SP,"$3,182,200"
Kyle Farmer,SS,"$3,155,000"
Anthony Santander,RF,"$3,150,000"
Kenta Maeda,SP,"$3,125,000"
Chris Flexen,RP,"$3,050,000"
Carlos Estevez,RP/CL,"$3,025,000"
Jackson Ferris,SP,"$3,005,000"
Lou Trivino,RP,"$3,000,000"
Framber Valdez,SP,"$3,000,000"
Danny Duffy,RP,"$3,000,000"
Adalberto Mondesi,SS,"$3,000,000"
Vincent Velasquez,RP,"$3,000,000"
Elias Diaz,C,"$3,000,000"
Chad Kuhl,SP,"$3,000,000"
Dylan Floro,RP,"$3,000,000"
Robby Snelling,SP,"$3,000,000"
Pierce Johnson,RP,"$3,000,000"
Jeff McNeil,2B,"$3,000,000"
Darin Ruf,DH,"$3,000,000"
Matthew Strahm,RP,"$3,000,000"
Max Stassi,C,"$3,000,000"
Anthony Bass,RP,"$3,000,000"
John Means,SP,"$2,950,000"
Spencer Jones,RF,"$2,880,800"
Luke Weaver,RP,"$2,875,000"
Alexander Reyes,RP,"$2,850,000"
Yandy Diaz,3B,"$2,800,000"
Noah Schultz,P,"$2,800,000"
Dyan Jorge,SS,"$2,800,000"
J.D. Davis,3B,"$2,760,000"
Chris Archer,SP,"$2,750,000"
Austin Barnes,C,"$2,750,000"
Rafael Montero,RP,"$2,725,000"
Chad Pinder,LF,"$2,725,000"
Jorge Alfaro,C,"$2,725,000"
Brent Suter,RP,"$2,700,000"
Chris Stratton,RP,"$2,700,000"
Oscar Colas,OF,"$2,700,000"
Joely Rodriguez,RP,"$2,650,000"
Nick Pivetta,SP,"$2,650,000"
Reynaldo Lopez,RP/CL,"$2,625,000"
Miguel Castro,RP,"$2,620,000"
Julio Rodriguez,CF,"$2,612,500"
Curt Casali,C,"$2,600,000"
Albert Pujols,DH,"$2,600,000"
Christian Walker,1B,"$2,600,000"
Owen Murphy,P,"$2,556,900"
Luis Urias,2B,"$2,550,000"
Nicky Lopez,3B,"$2,550,000"
Xavier Isaac,1B,"$2,548,900"
David Bote,2B,"$2,510,000"
Cal Quantrill,SP,"$2,510,000"
Diego Benitez,SS,"$2,500,000"
Drew Gilbert,CF,"$2,500,000"
Lazaro Montes,OF,"$2,500,000"
Kevin Pillar,CF,"$2,500,000"
Drew VerHagen,RP,"$2,500,000"
Aaron Bummer,RP,"$2,500,000"
Garrett Cooper,DH,"$2,500,000"
Roman Anthony,OF,"$2,500,000"
Matt Moore,RP,"$2,500,000"
Freddy Peralta,SP,"$2,484,960"
Ramon Laureano,RF,"$2,450,000"
Pablo Lopez,SP,"$2,450,000"
Jacob Stallings,C,"$2,450,000"
Sterlin Thompson,RF,"$2,430,500"
Adrian Houser,SP,"$2,425,000"
Eric Lauer,SP,"$2,425,000"
Giovanny Gallegos,RP,"$2,410,000"
J.R. Ritchie,P,"$2,400,000"
Joe Ross,SP,"$2,400,000"
Scott Barlow,RP/CL,"$2,400,000"
Jacob Misiorowski,SP,"$2,350,000"
Landon Sims,RP,"$2,347,050"
Emilio Pagan,RP,"$2,300,000"
Mikey Romero,SS,"$2,300,000"
Justin Wilson,RP,"$2,300,000"
Reggie Crawford,P,"$2,297,500"
Chris Paddack,SP,"$2,250,000"
Tony Kemp,2B,"$2,250,000"
Richard Bleier,RP,"$2,250,000"
Luis Meza,C,"$2,250,000"
A.J. Minter,RP/CL,"$2,200,000"
Dylan Beavers,RF,"$2,200,000"
Jordan Beck,OF,"$2,200,000"
Ryan Reckley,SS,"$2,200,000"
Javier Osorio,SS,"$2,200,000"
Wandy Peralta,RP,"$2,150,000"
Diego Castillo,RP,"$2,150,000"
Erick Fedde,SP,"$2,150,000"
Luis Arraez,2B,"$2,125,000"
Cavan Biggio,2B,"$2,122,500"
Ryne Stanek,RP,"$2,100,000"
Sal Stewart,3B,"$2,097,500"
Eric Brown Jr.,2B,"$2,050,000"
William Bergolla Jr.,SS,"$2,050,000"
Thomas Harrington,P,"$2,050,000"
Amir Garrett,RP,"$2,025,000"
Victor Caratini,C,"$2,000,000"
Matt Carpenter,3B,"$2,000,000"
Zach Plesac,SP,"$2,000,000"
Henry Bolte,OF,"$2,000,000"
Steve Cishek,RP,"$2,000,000"
Anibal Sanchez,SP,"$2,000,000"
Jose Quintana,SP,"$2,000,000"
Adam Engel,RF,"$2,000,000"
Caleb Smith,RP,"$2,000,000"
Anthony Gutierrez,OF,"$2,000,000"
Tucker Toman,2B,"$2,000,000"
Dalton Rushing,C,"$1,959,390"
Kevin Newman,SS,"$1,950,000"
Danny Jansen,C,"$1,950,000"
Rowdy Tellez,1B,"$1,940,000"
Emmanuel Clase,RP/CL,"$1,900,000"
Jose Alvarado,RP/CL,"$1,900,000"
Max Wagner,3B,"$1,900,000"
Simon Juan,OF,"$1,900,000"
Jose Cisnero,RP,"$1,900,000"
Carson Whisenhunt,SP,"$1,868,720"
Garrett Hampson,SS,"$1,862,500"
Andrew Kittredge,RP,"$1,850,000"
Jackson Cox,SP,"$1,850,000"
Blade Tidwell,SP,"$1,850,000"
Cutter Coffey,3B,"$1,850,000"
Austin Slater,CF,"$1,850,000"
Jace Peterson,3B,"$1,825,000"
Connor Prielipp,SP,"$1,825,000"
Hunter Strickland,RP,"$1,825,000"
Ben Gamel,LF,"$1,800,000"
Nelson Rada,OF,"$1,800,000"
Luis Cessa,SP,"$1,800,000"
Peyton Graham,3B,"$1,800,000"
Joe Jimenez,RP,"$1,790,000"
Brad Boxberger,RP,"$1,750,000"
Domingo German,SP,"$1,750,000"
Charlie Culberson,3B,"$1,750,000"
Kurt Suzuki,C,"$1,750,000"
Paul Sewald,RP/CL,"$1,735,000"
Jake Bennett,P,"$1,734,800"
Jarlin Garcia,RP,"$1,725,000"
Jacob Miller,SP,"$1,700,400"
Justin Campbell,SP,"$1,700,000"
Yasser Mercedes,OF,"$1,700,000"
Braylin Tavera,OF,"$1,700,000"
Cayden Wallace,3B,"$1,700,000"
Jarlin Susana,P,"$1,700,000"
Jonathan Loaisiga,RP,"$1,650,000"
Myles Straw,CF,"$1,650,000"
Victor Robles,CF,"$1,650,000"
Orlando Arcia,2B,"$1,600,000"
Tom Murphy,C,"$1,575,000"
Adam Cimber,RP,"$1,575,000"
Phil Maton,RP,"$1,550,000"
Hunter Barco,SP,"$1,525,000"
Jose Alvarez,RP,"$1,500,000"
Ehire Adrianza,SS,"$1,500,000"
Jay Jackson,RP,"$1,500,000"
Adan Sanchez,C,"$1,500,000"
Steven Brault,RP,"$1,500,000"
Jorge Lopez,RP,"$1,500,000"
Sean Doolittle,RP,"$1,500,000"
Peyton Pallette,SP,"$1,500,000"
Zach Davies,SP,"$1,500,000"
Reyes Moronta,RP,"$1,500,000"
Karson Milbrandt,SP,"$1,500,000"
Willy Fana,OF,"$1,500,000"
Matt Duffy,3B,"$1,500,000"
Spencer Turnbull,SP,"$1,500,000"
Cole Phillips,P,"$1,497,500"
Caden Dana,P,"$1,497,500"
Francisco Mejia,C,"$1,455,000"
Wander Franco,SS,"$1,454,545"
Tyler Matzek,RP,"$1,400,000"
Brett Phillips,CF,"$1,400,000"
Ivan Melendez,1B,"$1,400,000"
Jordan Luplow,OF,"$1,400,000"
Ryan Brasier,RP,"$1,400,000"
Victor Reyes,RF,"$1,400,000"
Johan Barrios,SS,"$1,385,000"
Dylan Moore,2B,"$1,350,000"
Hanser Alberto,2B,"$1,350,000"
Carter Young,SS,"$1,325,000"
Elieser Hernandez,RP,"$1,325,000"
Tim Hill,RP,"$1,325,000"
Douglas Glod,OF,"$1,300,000"
Alexis Hernandez,SS,"$1,300,000"
Parker Messick,SP,"$1,300,000"
Luis Baez,OF,"$1,300,000"
Miguel Andujar,3B,"$1,300,000"
Caleb Thielbar,RP,"$1,300,000"
Michael Arroyo,SS,"$1,300,000"
Martin Gonzalez,SS,"$1,300,000"
Ryan O'Hearn,1B,"$1,300,000"
Yendry Rojas,SS,"$1,300,000"
Bradley Zimmer,CF,"$1,300,000"
Robert Stephenson,RP,"$1,280,000"
Tyler Locklear,1B,"$1,276,500"
Harold Castro,3B,"$1,275,000"
Ryan Clifford,LF,"$1,256,530"
Luis Garcia,SP,"$1,251,500"
Walter Ford,P,"$1,250,000"
Kyle Crick,RP,"$1,250,000"
Adam Mazur,SP,"$1,250,000"
Nick Senzel,CF,"$1,250,000"
Lucas Sims,RP,"$1,250,000"
Tim Mayza,RP,"$1,250,000"
Jhonny Severino,SS,"$1,230,000"
Samuel Gil,SS,"$1,200,000"
Adam Maier,P,"$1,200,000"
Jaison Chourio,OF,"$1,200,000"
Victor Izturis,C,"$1,200,000"
Jacob Zibin,P,"$1,200,000"
Josh Naylor,1B,"$1,200,000"
Yordany De Los Santos,SS,"$1,200,000"
Luis Torrens,C,"$1,200,000"
Carlos Pacheco,OF,"$1,200,000"
Jon Berti,3B,"$1,200,000"
Freili Encarnacion,SS,"$1,200,000"
Christian Arroyo,2B,"$1,200,000"
Jose DeJesus,OF,"$1,200,000"
Randy de Jesus,OF,"$1,200,000"
Drew Thorpe,SP,"$1,187,600"
Marwin Gonzalez,3B,"$1,150,000"
Joey Lucchesi,SP,"$1,150,000"
Juan Perez,C,"$1,100,000"
Luis Lara,OF,"$1,100,000"
Clay Holmes,RP/CL,"$1,100,000"
Ashton Izzi,P,"$1,100,000"
Brycen Mautz,SP,"$1,100,000"
Abdias de la Cruz,SS,"$1,100,000"
Fraymi De Leon,SS,"$1,100,000"
